ik,I
je,you
het,the
de,the
dat,Which
is,is
een,one
niet,not
en,and
van,from
wat,what
we,we
in,in
ze,they
hij,he
te,at
zijn,to be
op,on
maar,but
er,there
met,of
voor,in front of
die,That
heb,have got
me,me
als,as
was,used to be
ben,am
om,to
dit,this
mijn,mine
aan,at
u,you
dan,than
naar,nasty
weet,know
hier,here
zo,like this
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,it
heeft,has
wel,well
moet,must
wil,want to
hebben,have
goed,good
haar,hair
nee,new
hoe,how
nu,now
waar,Where
over,about
ook,also
doen,to do
uit,from
zou,would
ga,go
of,or
gaan,to go
bent,are
mij,me
bij,Bee
al,already
had,had
iets,something
daar,there
jullie,you
gaat,goes
zal,shall
hebt,have
kom,bowl
waarom,Why
meer,Lake
deze,this
moeten,should
laat,leave
kunnen,be able to
dus,So
jou,you
denk,think
wie,Who
alles,everything
echt,Real
doe,do
door,by means of
alleen,alone
toch,However
zien,see
weg,away
eens,once
man,man
misschien,perhaps
laten,to leave
nooit,never
nou,Well
zei,said
terug,back
oke,Okay
mee,along
niets,nothing
iemand,someone
komt,comes
toen,then
veel,a lot
even,for a bit
onze,our
gewoon,just
weten,know
komen,come
nodig,necessary
mensen,people
tot,until
worden,become
zeggen,say
tijd,time
weer,again
leven,life
twee,two
net,just
tegen,against
maken,to make
uw,your
zeg,say
omdat,because
zit,sit
wordt,is going to be
hou,keep
kijk,look
heel,all
wij,we
altijd,all the time
mag,allowed
gedaan,done
dood,dead
zeker,Certainly
af,off
jaar,year-old
hun,their
wilde,wanted to
dag,day
allemaal,all
jouw,your
huis,House
dacht,thought
doet,is doing
vader,father
kunt,can
wacht,wait
zie,see
vrouw,female
keer,time
andere,Others
zoals,such as
zij,she
dank,thanks
anders,different
geef,give
waren,goods
willen,want
zich,herself
bedankt,thanks
een,a
erg,terribly
wilt,want
praten,to talk
spijt,regret
geld,money
kon,could
werk,work
iedereen,everyone
beter,better
werd,became
moeder,mother
niemand,nobody
vinden,find
staat,stands
gezien,seen
niks,nothing
binnen,within
zitten,to sit
zullen,will
na,after
helpen,help out
wist,knew
vind,find
genoeg,enough
sorry,Sorry
vast,fixed
elkaar,each other
ging,went
uur,o'clock
klaar,finished
hele,whole
neem,take
leuk,nice
natuurlijk,naturally
alle,all
god,God
maak,make
lang,long
kwam,came
graag,Please
toe,toast
drie,three
zegt,say
bedoel,mean
deed,did
dingen,things
maakt,make
alsjeblieft,please
eerste,first
krijgen,to get
zonder,without
steeds,still
hallo,Hey
houden,to hold
vertellen,to tell
ziet,sees
idee,idea
geven,to give
achter,behind
geweest,been
blijven,to stay
helemaal,all the way
mooi,pretty
onder,below
kijken,to look
zag,saw
goede,good
naam,name
moest,had to
blijf,stay
kun,can
auto,car
luister,listen
grote,great
lijkt,seems
snel,fast
ooit,ever
vragen,to ask
paar,couple
wanneer,when
want,because
meneer,Sir
nieuwe,new ones
gebeurd,happened
zorgen,to care
vriend,friend
beetje,bit
kinderen,children
gek,freak
hand,hand
vraag,ask
laatste,last
geweldig,awesome
hadden,had
zelfs,even
enige,some
bang,anxious
nemen,take
samen,together
eten,food
zelf,yourself
hoor,hear
geleden,past
staan,to stand
gevonden,found it
jongen,boy
denken,to think
vandaag,Today
denkt,think
beste,Best
gezegd,said
thuis,At home
wereld,world
jongens,boys
heen,away
ken,know
hen,them
eerst,first
eigen,own
zoon,son
gelijk,directly
buiten,Outside
vertel,tell
morgen,tomorrow
meisje,girl
probleem,problem
alsof,as if
geloof,believe
halen,to fetch
familie,family
elke,each
zouden,would
hoop,heap
politie,Police
mannen,men
bijna,almost
vermoord,murdered
eigenlijk,actually
werken,to work
verdomme,damn
horen,to hear
manier,way
zat,was sitting
vrienden,friends
precies,precisely
kind,child
kleine,little
begrijp,understand
wou,wish
geeft,gives
orde,order
houdt,holds
verder,further
vroeg,early
wachten,wait
rustig,Calm
hoofd,head
krijg,receive
daarom,therefore
gebeurt,happen
soms,sometimes
volgens,according to
dagen,to dawn
vond,found
krijgt,gets
gemaakt,made
kant,side
werkt,works
open,Open
gehad,had
voel,feeling
zaak,case
blij,pleased
volgende,next one
zoek,Search
kans,opportunity
vanavond,this evening
bel,bubble
probeer,try
zoeken,Search
oude,old
ding,thing
moment,moment
best,best
tussen,between
plaats,Place
pas,pass
gehoord,heard
vijf,five
verteld,told
zet,move
prima,fine
hulp,staff
stad,city
vindt,finds
brengen,to take
pijn,pain
slecht,bad
geloven,to believe
eruit,get out
minuten,minutes
school,school
broer,brother
pak,business suit
jezelf,yourself
hoeveel,How much
kamer,room
betekent,means
spreken,speak
juist,right
heet,is called
soort,kind
haal,get
ergens,somewhere
vier,four
gebruiken,use
ligt,lies
blijft,stays
welke,which
proberen,to attempt
dokter,doctor
agent,agent
later,later
voordat,before
ogen,eyes
vrij,free
klopt,beats
gaf,gave
foto,photo
word,become
zodat,so that
dochter,daughter
problemen,issues
plek,place
